record_number,name,birth_year,death_year,details,active_date,title,technique,medium
b12963045,"Abbey, Edwin Austin",1852,1911,None,,The Founder of One of the Religious Sects.,drawing,pastel.
b12963057,"Abbey, Edwin Austin",1852,1911,None,,Delight in Disorder.,drawing,None
b12963021,"Abbey, Edwin Austin",1852,1911,None,,Alexander James Dallas.,drawing,pastel.
b12963033,"Abbey, Edwin Austin",1852,1911,None,,A Member of the Tile Club.,drawing,None
b12962144,"Abbey, Edwin Austin",1852,1911,None,,Thaddeus Stevens.,painting,oil on canvas.
b12962156,"Abbey, Edwin Austin",1852,1911,None,,Mrs. E.A. Abbey.,painting,oil on canvas.
b12967129,"Abel, Myer",1904,1946,None,,The Children.,painting,None
b12025197,"Abendschein, Albert",1860,1914,None,,Charles de Rham.,painting,oil on canvas.
b10661827,"Abendschein, Albert",1860,1914,None,,H. Casimir De Rham.,painting,oil on canvas.
b12967178,"Abrams, Herbert E.",1921,Unknown,None,,Jimmy Carter.,painting,None
b12967208,"Abrams, Lucien",1870,1941,None,,Studio Window.,painting,None
b1296721x,"Abrams, Lucien",1870,1941,None,,Girl in Brown.,painting,tempera on panel.
b12967324,"Adams, George E.",1814,1885,None,,Self Portrait.,painting,oil on canvas.
b12967336,"Adams, J.",Unknown,Unknown,"active, approximately",1850.,David G. Blythe.,painting,None
b11295259,"Adams, Lillian",1899,Unknown,None,,Mrs. Drury Walls Cooper.,painting,None
b12963483,"Adams, Wayman",1883,1959,None,,The Love Seat.,painting,None
b12963495,"Adams, Wayman",1883,1959,None,,Old Beggar.,painting,None
b1296346x,"Adams, Wayman",1883,1959,None,,Mexican Beggar.,painting,None
b11814779,"Adams, Wayman",1883,1959,None,,Lady at a Doorway.,painting,oil on canvas.
b12963471,"Adams, Wayman",1883,1959,None,,Old New Orleans Mammy.,painting,oil on canvas.
b12963380,"Adams, Wayman",1883,1959,None,,Snig.,painting,None
b12963392,"Adams, Wayman",1883,1959,None,,Karen.,painting,None
b12963124,"Adams, Wayman",1883,1959,None,,Albert.,painting,None
b12963136,"Adams, Wayman",1883,1959,None,,Booth Tarkington.,painting,oil on canvas.
b12963148,"Adams, Wayman",1883,1959,None,,Bedrich Vaska.,painting,None
b1296315x,"Adams, Wayman",1883,1959,None,,Samuel T. Shaw.,painting,None
b11021482,"Adams, Wayman",1883,1959,None,,Calvin Coolidge.,painting,None
b12963161,"Adams, Wayman",1883,1959,None,,Jerome Myers.,painting,None
